Entity,Code,Year,Fertility.rate
Afghanistan,AFG,2010,6.098700047
Africa,,2010,4.858799934
Albania,ALB,2010,1.656399965
Algeria,DZA,2010,2.843400002
American Samoa,ASM,2010,3.336600065
Andorra,AND,2010,1.428799987
Angola,AGO,2010,6.193799973
Anguilla,AIA,2010,1.695799947
Antigua and Barbuda,ATG,2010,1.785400033
Argentina,ARG,2010,2.346199989
Armenia,ARM,2010,1.501000047
Aruba,ABW,2010,1.941200018
Asia,,2010,2.309400082
Australia,AUS,2010,1.950099945
Austria,AUT,2010,1.435199976
Azerbaijan,AZE,2010,2.086299896
Bahamas,BHS,2010,1.834699988
Bahrain,BHR,2010,2.05279994
Bangladesh,BGD,2010,2.33949995
Barbados,BRB,2010,1.68719995
Belarus,BLR,2010,1.49849999
Belgium,BEL,2010,1.85769999
Belize,BLZ,2010,2.605600119
Benin,BEN,2010,5.389699936
Bermuda,BMU,2010,1.74000001
Bhutan,BTN,2010,2.295900106
Bolivia,BOL,2010,3.213200092
Bonaire Sint Eustatius and Saba,BES,2010,1.720199943
Bosnia and Herzegovina,BIH,2010,1.27579999
Botswana,BWA,2010,3.023000002
Brazil,BRA,2010,1.810199976
British Virgin Islands,VGB,2010,1.183300018
Brunei,BRN,2010,1.93659997
Bulgaria,BGR,2010,1.571099997
Burkina Faso,BFA,2010,5.935599804
Burundi,BDI,2010,6.259900093
Cambodia,KHM,2010,2.773600101
Cameroon,CMR,2010,5.160099983
Canada,CAN,2010,1.629600048
Cape Verde,CPV,2010,2.473700047
Cayman Islands,CYM,2010,1.752799988
Central African Republic,CAF,2010,5.936500072
Chad,TCD,2010,6.989999771
Chile,CHL,2010,1.844099998
China,CHN,2010,1.686499953
Colombia,COL,2010,1.991799951
Comoros,COM,2010,4.75880003
Congo,COG,2010,4.822199821
Cook Islands,COK,2010,2.625400066
Costa Rica,CRI,2010,1.927600026
Cote d'Ivoire,CIV,2010,5.087999821
Croatia,HRV,2010,1.545600057
Cuba,CUB,2010,1.692499995
Curacao,CUW,2010,2.191900015
Cyprus,CYP,2010,1.437999964
Czechia,CZE,2010,1.50909996
